Titles,Lifetime_Gross,Max_theaters,Opening_col,Opening_theaters,Release_date,Distributor,Rank
Frank Serpico,11925,6,"$2,283",1,2017-11-01,IFC Films,1624
"Cassandro, The Exotico!",11897,4,"$2,269",1,2019-07-19,Film Movement,1625
New York in the 50's,11882,1,"$4,552",1,2001-02-09,Avatar Films,1626
Revenge of the Mekons,11861,3,"$2,354",1,2014-10-29,Music Box Films,1627
Emptying the Skies,11811,2,"$4,818",2,2015-04-22,Music Box Films,1629
Chelsea on the Rocks,11799,1,"$4,286",1,2009-10-02,Aliquot Films,1630
Blockade,11750,1,"$5,271",1,2007-03-14,Icarus Films,1631
Writer of O,11728,1,"$2,245",1,2005-05-04,Zeitgeist Films,1632
Lucha Mexico,11722,25,"$7,245",25,2016-07-15,Kino Lorber,1633
One Peace at a Time,11698,2,"$4,138",1,2009-12-04,Monterey Media,1634
My Voyage to Italy,11683,1,"$7,117",1,2001-10-24,Miramax,1635
Angels in the Dust,11606,4,"$5,043",1,2007-09-14,Cinema Libre Studio,1636
Operation Filmmaker,11573,1,"$2,964",1,2008-06-04,Icarus Films,1637
The Ruins of Lifta,11548,1,"$4,620",1,2016-09-23,First Run,1640
Ultrasuede: In Search of Halston,11539,1,"$3,968",1,2012-01-20,Tribeca Film,1641
After the Cup: Sons of Sakhnin United,11538,3,"$2,501",1,2010-05-21,Variance Films,1642
Sputnik Fever,11441,1,"$6,223",1,2008-03-14,Balcony Releasing,1643
The Final Member,11428,10,"$2,064",7,2014-04-18,Drafthouse Films,1644
The Great Invisible,11428,5,"$2,348",3,2014-10-29,RADiUS-TWC,1644
Beside Bowie: The Mick Ronson Story,11400,2,"$2,100",1,2017-08-25,Parade Deck Films,1646
Strafsache 4 Ks 2/63 - Auschwitz vor dem Frankfurter Schwurgericht,11396,1,"$2,740",1,2007-01-12,First Run,1647
Family Fundamentals,11344,4,"$7,352",4,2002-10-11,Focus Features,1648
The Public Image is Rotten,11293,1,"$8,052",1,2018-09-14,Abramorama,1649
Theo Who Lived,11271,2,"$4,990",1,2016-10-07,Zeitgeist Films,1650
The Pathological Optimist,11222,2,"$5,946",1,2017-09-29,The Film Arcade,1651
The Last Party,11156,1,"$4,088",1,1993-08-27,Triton Pictures,1652
Ferrante Fever,11137,3,"$3,509",1,2019-03-08,Greenwich Entertainment,1653
The Challenge,11043,5,"$2,171",1,2017-09-08,Kino Lorber,1654
The Woman with the 5 Elephants,11026,1,"$4,988",1,2011-07-20,The Cinema Guild,1655
Sarah Palin: You Betcha!,10935,6,"$6,911",6,2011-09-30,Freestyle Releasing,1657
If the Dancer Dances,10912,6,"$5,000",1,2019-04-26,Monument Releasing,1658
MC5*: A True Testimonial,10888,2,"$1,962",1,2004-03-05,Avatar Films,1659
Shooting the Mafia,10881,3,"$3,251",2,2019-11-22,Cohen Media Group,1660
Mala Mala,10761,2,"$2,569",2,2015-07-01,Strand Releasing,1662
National Bird,10656,8,"$3,030",1,2016-11-11,FilmRise,1663
Jupiter's Wife,10622,1,"$3,673",1,1995-08-18,Artistic License,1666
Whaledreamers,10584,6,"$1,827",6,2008-09-26,Monterey Media,1668
China Heavyweight,10550,4,"$3,792",1,2012-07-06,Zeitgeist Films,1669
Waiting for Armageddon,10501,1,"$2,579",1,2010-01-08,First Run,1671
Clarence,10495,2,"$5,004",2,2017-09-01,Indican Pictures,1672
Mama Africa,10430,1,"$3,495",1,2018-01-19,ArtMattan Productions,1674
Forgiving Dr. Mengele,10403,1,"$2,754",1,2006-02-24,First Run,1675
The Advocates,10402,4,"$4,355",1,2018-10-19,Cinema Libre Studio,1676
Around India with a Movie Camera,10389,1,$183,1,2018-11-30,Icarus Films,1677
Liv & Ingmar,10347,2,"$5,451",2,2013-12-13,Janus Films,1679
...So Goes the Nation,10337,4,"$2,622",4,2006-10-04,IFC Films,1680
Shepard & Dark,10278,3,"$1,226",1,2013-09-25,Music Box Films,1681
The Eyes of Orson Welles,10253,2,"$2,372",1,2019-03-15,Janus Films,1682
Black Is... Black Ain't,10171,1,"$7,120",1,1995-05-05,Tara Releasing,1685
Putin's Kiss,10082,1,"$1,525",1,2012-02-17,Kino Lorber,1686
Informant,10068,4,"$2,947",2,2013-09-13,Music Box Films,1687
The Sunshine Makers,10042,7,"$1,874",1,2017-01-20,FilmRise,1688
"Hugh Hefner: Playboy, Activist and Rebel",10000,4,"$10,000",4,2010-07-30,Phase 4 Films,1690
Act of God,9955,1,$522,1,2009-07-31,Zeitgeist Films,1691
Olivia,9934,3,"$3,948",3,2019-08-16,Icarus Films,1692
Streetwise,9904,1,"$5,006",1,2019-07-19,Janus Films,1693
Kabbalah Me,9816,2,"$2,196",1,2014-08-22,First Run,1694
Birth of the Living Dead,9802,10,"$1,239",6,2013-10-18,First Run,1695
Cuba: Island of Music,9791,1,"$5,071",1,2004-01-16,Cinema Four,1696
Something to Cheer About,9777,9,"$6,410",9,2007-04-27,Truly Indie,1697
Stolen Moments,9743,1,"$3,636",1,1998-04-10,First Run,1698
Machines,9710,1,"$2,838",1,2017-08-09,Kino Lorber,1699
The Quest of Alain Ducasse,9627,5,"$2,711",1,2018-06-08,Magnolia Pictures,1701
The Unknown Soldier,9602,1,"$3,545",1,2007-09-07,First Run,1702
The Lost Arcade,9522,1,"$7,500",1,2016-08-12,26 Aries,1703
Strangers on the Earth,9518,2,"$3,768",1,2018-05-04,First Run,1704
"One Cut, One Life",9406,2,"$4,127",2,2015-05-13,First Run,1706
Innocence and Experience: The Making of 'The Age of Innocence',9395,1,"$3,845",1,2005-01-21,Kino International,1707
Miss Kiet's Children,9384,2,"$2,035",2,2017-12-13,Icarus Films,1708
When Lambs Become Lions,9337,2,"$3,155",1,2019-11-22,Oscilloscope,1709
The City Dark,9269,2,"$2,983",1,2012-01-18,Argot Pictures,1711
Crossing the Line,9258,2,"$2,605",1,2007-08-10,Kino International,1713
Cracked Up,9197,1,"$5,310",1,2019-09-13,Abramorama,1714
Robert Blecker Wants Me Dead,9166,1,"$4,352",1,2009-02-27,Abramorama,1715
Call Me Kuchu,9124,1,"$3,476",1,2013-06-14,Cinedigm Entertainment Group,1716
Out of the Past,9078,1,"$1,671",1,1998-07-31,Zeitgeist Films,1720
El Mar La Mar,9065,2,"$3,375",1,2018-02-23,The Cinema Guild,1722
"Frantz Fanon: Black Skin, White Mask",9025,1,"$3,278",1,2019-03-15,Film Movement,1723
Station to Station,9000,1,"$9,000",1,2015-08-21,Submarine Deluxe,1725
Survivors Guide To Prison,8982,4,"$8,982",4,2018-02-23,Gravitas Ventures,1726
Magnus,8944,6,"$1,204",1,2016-11-18,FilmRise,1727
Three Stars,8942,1,"$1,003",1,2012-09-21,First Run,1728
Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe,8939,1,"$3,815",1,2007-10-19,Arthouse Films,1729
The Swenkas,8860,1,"$2,790",1,2005-11-09,Seventh Art Releasing,1730
Bounce: Behind the Velvet Rope,8779,1,"$7,502",1,2001-09-07,Artistic License,1732
Only When I Dance,8738,1,"$2,181",1,2010-07-02,Film Movement,1733
Man on a Mission: Richard Garriott's Road to the Stars,8688,5,"$3,430",4,2012-01-13,First Run,1734
Without the King,8663,1,"$4,237",1,2008-04-25,First Run,1735
Farewell to Hollywood,8601,3,$572,1,2015-02-25,International Film Circuit,1736
From the East,8540,1,$564,1,2016-04-17,Icarus Films,1737
The Institute,8445,4,"$3,017",2,2013-10-04,Argot Pictures,1739
Red Hollywood,8426,1,"$4,760",1,2014-08-15,The Cinema Guild,1740
Glastonbury,8419,3,"$1,179",1,2007-02-23,THINKFilm,1741
Dreams of a Life,8405,1,"$3,085",1,2012-08-03,Strand Releasing,1742
Downloaded,8377,2,"$2,504",2,2013-06-21,Abramorama,1743
Counting,8374,1,"$4,904",1,2015-07-31,The Cinema Guild,1744
Gilbert,8362,1,"$8,362",1,2017-11-03,Submarine Deluxe,1745
Stealing America: Vote by Vote,8350,3,"$2,944",1,2008-08-01,Direct Cinema Limited,1746
Gringo Trails,8349,2,$158,1,2014-04-19,Icarus Films,1747
Mr. Chibbs,8302,1,"$3,163",1,2017-05-03,Abramorama,1748
Served Like a Girl,8290,8,"$1,844",4,2017-08-25,Entertainment Studios Motion Pictures,1749
We Are Twisted Fucking Sister!,8277,8,"$5,804",6,2016-02-19,Music Box Films,1750
Silicon Cowboys,8239,12,"$5,724",12,2016-09-16,FilmRise,1751
Spiral,8190,2,"$3,258",2,2018-06-22,Cohen Media Group,1752
Far from Vietnam,8132,1,"$1,125",1,2013-08-28,Icarus Films,1753
Twist of Faith,8129,2,"$2,085",2,2005-07-01,Artistic License,1754
La Maison de la radio,8095,1,"$1,410",1,2013-09-04,Kino Lorber,1755
Next Year Jerusalem,8093,2,"$2,590",1,2014-05-16,First Run,1756
In the Mirror of Maya Deren,8077,2,"$3,225",1,2003-01-24,Zeitgeist Films,1757
The Other Side,8074,1,"$1,246",1,2016-05-20,Film Movement,1758
Occupation: Dreamland,8018,2,"$8,018",2,2005-09-23,Rumur Releasing,1760
Talent Has Hunger,7998,5,"$3,709",1,2016-03-11,First Run,1761
Eleven Minutes,7986,4,"$3,670",4,2009-02-20,Regent Releasing,1762
Roseanne for President!,7960,2,"$3,340",2,2016-07-01,IFC Films,1763
A Decent Factory,7925,1,"$1,900",1,2005-06-29,Icarus Films,1764
Mugabe and the White African,7924,1,"$1,907",1,2010-07-23,First Run,1765
Angels Are Made Of Light,7919,2,"$1,707",1,2019-07-26,Grasshopper Film,1766
Portrait of a Garden,7914,1,"$4,488",1,2016-10-26,Grasshopper Film,1767
Photographic Memory,7822,2,"$3,006",2,2012-10-12,First Run,1770
Kill Your Idols,7753,2,"$3,274",1,2006-07-07,Palm Pictures,1771
A Walk to Beautiful,7718,1,"$7,718",1,2008-02-08,Engel Entertainment,1772
I Don't Belong Anywhere: The Cinema of Chantal Akerman,7703,3,$389,2,2016-03-28,Icarus Films,1774
With All Deliberate Speed,7690,5,"$4,920",5,2004-05-14,Empire Pictures Inc.,1775
Last Days Here,7643,1,"$2,671",1,2012-03-02,IFC Films,1776
The Wrong Light,7553,1,"$5,429",1,2017-07-14,The Cinema Guild,1777
Tales from the Script,7535,1,"$1,938",1,2010-03-12,First Run,1778
Birthright: A War Story,7519,1,"$3,006",1,2017-07-14,Abramorama,1779
They Will Have to Kill Us First: Malian Music In Exile,7516,2,"$4,106",2,2016-03-04,BBC Worldwide North America,1780
loudQUIETloud: A Film About the Pixies,7506,3,"$3,792",3,2006-09-29,Roxie Releasing,1781
The Thorn in the Heart,7376,1,"$5,173",1,2010-04-02,Oscilloscope,1786
Big Time,7347,2,"$7,347",2,2017-12-01,Abramorama,1788
The Four Sisters,7323,3,"$2,840",1,2018-11-14,Cohen Media Group,1789
Casting About,7279,2,$893,1,2007-05-11,Kino International,1790
Indian Point,7251,2,"$3,186",1,2016-07-08,First Run,1791
Tall: The American Skyscraper and Louis Sullivan,7216,1,"$7,216",1,2018-01-19,The Cinema Guild,1792
I Am Ali,7205,11,"$4,178",11,2014-10-10,Focus World,1793
Antarctic Edge: 70° South,7193,1,"$3,131",1,2015-04-17,First Run,1794
Saint of 9/11,7137,1,"$3,680",1,2006-09-06,IFC Films,1795
Quantum Hoops,7075,1,"$4,216",1,2007-11-02,Green Forest Films,1796
This is Congo,7051,2,"$3,690",1,2018-06-29,Abramorama,1797
In the Land of Pomegranates,7014,1,"$3,072",1,2018-01-05,First Run,1800
Corman's World: Exploits of a Hollywood Rebel,7000,2,"$7,000",2,2011-12-16,Anchor Bay Films,1801
Aristide and the Endless Revolution,6998,1,"$2,552",1,2005-11-24,First Run,1802
The Camden 28,6983,1,"$3,428",1,2007-07-27,First Run,1803
"Love, Marilyn",6950,1,"$4,000",1,2012-11-30,Submarine Deluxe,1804
Assaulted: Civil Rights Under Fire,6905,17,"$4,570",17,2013-06-20,High Top Releasing,1807
Speaking in Strings,6859,2,"$1,519",1,1999-09-10,Seventh Art Releasing,1810
Steve McQueen: The Man & Le Mans,6843,2,"$4,079",2,2015-11-13,FilmRise,1811
Mad Tiger,6823,2,"$1,119",1,2016-03-20,Film Movement,1812
Operation Homecoming: Writing the Wartime Experience,6795,1,"$4,516",1,2007-02-09,The Documentary Group,1813
Before You Know It,6717,3,"$1,591",1,2014-05-30,The Film Collaborative,1816
Regina Spektor Live in London,6684,9,"$1,798",9,2010-11-19,Cinema Purgatorio,1817
The Dying of the Light,6627,2,$996,1,2016-04-07,First Run,1818
Skid Row,6627,3,"$6,627",3,2007-08-24,Screen Media Films,1818
Aatsinki: The Story of Arctic Cowboys,6601,2,"$2,842",1,2014-01-24,Argot Pictures,1820
The Aggressives,6533,1,"$3,769",1,2005-10-07,Seventh Art Releasing,1821
Jews of Egypt,6505,2,"$2,179",1,2014-03-28,ArtMattan Productions,1822
Windfall,6504,1,"$1,780",1,2012-02-03,First Run,1823
The Beat Hotel,6480,1,"$1,458",1,2012-03-30,First Run,1824
"White King, Red Rubber, Black Death",6458,1,"$3,238",1,2005-10-21,ArtMattan Productions,1825
The Skyjacker's Tale,6253,2,"$1,097",1,2017-06-30,Strand Releasing,1826
In the Steps of Trisha Brown,6230,4,"$1,232",1,2017-02-07,Icarus Films,1827
The Bad Kids,6226,6,"$1,564",1,2016-12-16,FilmRise,1828
A Man Vanishes,6201,2,"$1,576",2,2012-11-15,Icarus Films,1829
The Red Chapel,6196,2,"$2,459",1,2010-12-29,Lorber Films,1830
In Search of Blind Joe Death: The Saga of John Fahey,6132,2,"$1,119",1,2013-08-16,First Run,1832
Approximately Nels Cline,6132,2,"$1,119",1,2013-08-16,First Run,1832
"El Sicario, Room 164",6123,1,"$2,040",1,2011-12-28,Icarus Films,1834
Scottsboro: An American Tragedy,6123,1,"$2,991",1,2001-01-19,Social Media Productions,1834
Starless Dreams,5937,2,$707,1,2017-01-20,The Cinema Guild,1836
Sweethearts of the Prison Rodeo,5922,2,"$2,198",2,2010-09-17,Cinema Purgatorio,1837
Let It Come Down: The Life of Paul Bowles,5869,1,"$5,869",1,1999-04-30,Zeitgeist Films,1839
Top Spin,5858,4,"$2,177",1,2015-08-21,First Run,1840
The Work,5853,2,"$3,286",2,2017-10-27,The Orchard,1841
Shout Gladi Gladi,5839,2,"$5,046",2,2015-10-02,International Film Circuit,1842
Klezmer on Fish Street,5724,1,"$2,628",1,2004-04-16,Castle Hill Productions,1844
People of a Feather,5677,1,"$2,413",1,2013-11-08,First Run,1846
Fired!,5661,4,"$2,158",4,2007-02-02,International Film Circuit,1847
Elevate,5580,2,"$3,547",1,2011-10-21,Variance Films,1849
Our Man in Tehran,5573,3,"$1,640",1,2015-05-15,First Run,1850
The Miracle of the Little Prince,5553,1,"$2,643",1,2019-08-28,Film Movement,1851
Booker's Place: A Mississippi Story,5549,2,"$2,455",2,2012-04-25,Tribeca Film,1852
Gogol Bordello Non-Stop,5532,1,"$2,793",1,2009-09-11,Lorber Films,1853
The Reagan Show,5500,2,"$5,500",2,2017-06-30,Gravitas Ventures,1855
Reset,5454,2,"$2,198",2,2017-01-13,FilmRise,1856
Cuban Food Stories,5434,1,"$3,032",1,2018-08-10,First Run,1857
Whiz Kids,5386,2,"$1,333",1,2010-06-04,Shadow Distribution,1859
The Only Real Game,5384,1,"$1,130",1,2014-03-07,The Only Real Game Movie,1860
Rock the Bells,5347,1,"$1,325",1,2007-04-11,Seventh Art Releasing,1861
12 Days,5204,2,$923,1,2018-03-16,Distrib Films,1862
A Lawyer Walks Into a Bar...,5202,1,$980,1,2008-02-29,Indican Pictures,1863
God and Gays: Bridging the Gap,5095,2,"$1,460",2,2008-10-24,Indican Pictures,1865
Poisoned by Polonium: The Litvinenko File,5080,1,"$2,402",1,2008-03-21,Kino International,1866
Bidder 70,5074,4,"$2,477",1,2013-05-17,First Run,1867
Chulas Fronteras,5021,1,"$3,548",1,2019-06-28,Argot Pictures,1868
Futaba kara tooku hanarete,4960,1,"$2,268",1,2013-12-11,First Run,1869
Herman's House,4956,2,"$3,552",1,2013-04-19,First Run,1870
Company Town,4934,1,"$2,150",1,2017-09-08,First Run,1871
"Peace, Propaganda & the Promised Land",4930,1,"$1,735",1,2005-01-28,Arab Film Distribution,1872
Everything's Cool,4890,2,"$2,641",2,2007-11-23,City Lights Pictures,1873
Home of the Brave,4874,1,"$3,185",1,2004-10-01,Emerging Pictures,1874
Call Her Applebroog,4842,1,"$2,559",1,2016-06-10,Zeitgeist Films,1875
Ferlinghetti: A Rebirth of Wonder,4816,2,"$1,197",1,2013-02-08,First Run,1876
"Half The Road: The Passion, Pitfalls & Power of Women's Professional Cycling",4783,2,"$1,613",2,2014-04-18,First Run,1877
Street Fight,4779,2,"$3,888",2,2006-02-22,Frontier Films,1878
Miss Hill: Making Dance Matter,4706,1,"$2,560",1,2015-01-23,First Run,1879
Marinoni: The Fire in the Frame,4696,3,$488,2,2016-04-01,First Run,1880
The Other Side of Everything,4685,2,$315,1,2018-07-13,Icarus Films,1881
Death Metal Angola,4674,1,$895,1,2014-11-07,The Vladar Company,1882
Blood on the Mountain,4664,2,"$3,184",2,2016-11-18,Abramorama,1884
Night School,4663,2,"$1,588",1,2017-06-09,Oscilloscope,1885
How to Draw a Bunny,4658,1,"$2,706",1,2004-03-12,Palm Pictures,1886
The Fall of Fujimori,4630,1,$779,1,2006-05-05,Cinema Libre Studio,1887
Smiling Through the Apocalypse,4560,1,"$2,590",1,2014-09-12,First Run,1889
Kangaroo,4547,2,"$2,282",2,2018-01-19,Abramorama,1890
Promised Lands,4546,1,$797,1,2010-02-05,The Film Desk,1891
The Pulitzer at 100,4489,1,"$2,577",1,2017-07-21,First Run,1892
I'm Leaving Now,4488,1,"$1,255",1,2019-09-06,The Cinema Guild,1893
German Concentration Camps Factual Survey,4468,1,"$3,000",1,2017-01-06,First Run,1894
Cowboy del Amor,4438,2,"$4,438",2,2006-02-10,Emerging Pictures,1897
Sacred Stage: The Mariinsky Theater,4410,1,"$3,724",1,2005-10-07,First Run,1898
The End of Time,4375,1,"$1,468",1,2013-11-29,First Run,1900
Blood & Tears,4364,1,"$2,201",1,2007-06-15,THINKFilm,1901
The Flower of Kim Jong II,4362,1,"$1,497",1,2010-03-19,Lorber Films,1902
McLibel,4337,3,"$1,821",1,2005-06-10,Cinema Libre Studio,1903
Art Is... The Permanent Revolution,4291,1,"$2,718",1,2012-03-02,First Run,1905
Breaking a Monster,4212,1,"$1,302",1,2016-06-24,Abramorama,1908
Among the Believers,4189,1,"$1,900",1,2016-09-30,First Run,1909
Weekend of a Champion,4100,2,"$4,100",2,2013-11-22,Submarine Deluxe,1910
Heavy Metal in Baghdad,4070,2,"$2,012",2,2008-05-23,Hart Sharp Entertainment,1911
Dream Boat,3981,1,"$2,199",1,2017-11-03,Strand Releasing,1914
Maidan,3909,1,"$1,847",1,2014-12-12,The Cinema Guild,1915
"High Tech, Low Life",3836,1,"$1,718",1,2013-01-09,Argot Pictures,1916
Saints and Sinners,3826,1,"$2,167",1,2004-06-18,Avatar Films,1917
Free Radicals: A History of Experimental Film,3804,1,"$1,350",1,2012-08-03,Kino Lorber,1918
The Harvest/La Cosecha,3709,1,"$2,245",1,2011-07-29,Cinema Libre Studio,1922
"Still, the Children Are Here",3685,1,"$2,210",1,2004-11-05,Icarus Films,1923
Brothers in Arms,3664,2,$658,1,2004-08-27,First Run,1924
Smash His Camera,3644,1,"$2,367",1,2010-07-30,Magnolia Pictures,1925
In the Basement,3643,1,$748,1,2015-11-06,Strand Releasing,1926
Stop The Pounding Heart,3642,1,"$2,363",1,2014-09-19,Big World Pictures,1927
Fraude: México 2006,3637,5,"$2,369",5,2008-10-10,Maya Entertainment,1928
Moog,3604,1,"$2,227",1,2004-09-24,Plexifilm,1929
Journeys with George,3588,1,"$2,264",1,2003-03-14,Cinema Four,1930
Sister Helen,3541,1,"$2,163",1,2003-10-24,Cinema Four,1932
Revolution OS,3500,1,"$3,500",1,2002-08-23,Seventh Art Releasing,1934
That Sugar Film,3500,10,"$3,500",10,2015-07-31,The Samuel Goldwyn Company,1934
"Love, Sweat and Tears",3482,2,$512,1,2017-04-07,Kino Lorber,1936
The Hacker Wars,3470,1,"$2,958",1,2014-10-17,Vitagraph Films,1937
Under the Wire,3429,2,"$2,271",2,2018-11-16,Abramorama,1938
Speed Sisters,3423,2,$370,1,2017-01-27,First Run,1939
The Cage Fighter,3392,2,"$1,204",2,2018-02-02,IFC Films,1940
The Price of Sugar,3384,1,"$3,384",1,2007-09-28,Mitropoulos Films,1941
Blossoms of Fire,3365,1,"$2,390",1,2006-02-03,New Yorker Films,1942
The Iron Ministry,3340,3,$896,3,2015-08-21,Icarus Films,1943
Over the Limit,3243,2,"$1,402",1,2018-10-12,Film Movement,1944
The Sons of Tennessee Williams,3242,1,"$1,492",1,2011-10-07,First Run,1945
Plastic Planet,3164,2,$740,1,2011-01-14,First Run,1948
Game Changers,3142,1,"$3,142",1,2018-06-29,Ammo Content,1949
Hot to Trot,3133,1,"$3,133",1,2018-08-24,First Run,1950
The Prisoner or: How I Planned to Kill Tony Blair,3103,2,"$2,194",2,2007-03-23,Red Envelope Entertainment,1952
Showrunners: The Art of Running a TV Show,3100,1,"$3,100",1,2014-10-31,Submarine Deluxe,1953
What Now? Remind Me,3089,1,"$1,434",1,2014-08-08,The Cinema Guild,1954
Who Does She Think She Is?,3081,1,"$3,081",1,2008-10-17,Artistic License,1955
Drew: The Man Behind the Poster,3078,1,"$1,764",1,2013-08-14,Kino Lorber,1956
Chasing Portraits,3076,1,"$1,708",1,2019-04-26,First Run,1957
The Weird World of Blowfly,3062,1,"$1,036",1,2011-09-16,Variance Films,1958
Best and Most Beautiful Things,3016,2,"$1,591",2,2016-12-02,First Run,1959
Stolen Childhoods,2996,1,"$2,996",1,2005-05-20,Balcony Releasing,1961
Moana,2993,4,"$2,274",1,2015-11-13,Kino Lorber,1962
Run for Your Life,2992,1,"$2,537",1,2008-10-29,Screen Media Films,1963
Wetlands Preserved: The Story of an Activist Nightclub,2970,1,"$1,736",1,2008-03-14,First Run,1964
Beautopia,2870,1,"$1,219",1,1999-03-05,Wellspring Media,1965
The Professor: Tai Chi's Journey West,2852,1,"$1,744",1,2016-05-06,First Run,1966
Back to the Fatherland,2697,1,"$1,312",1,2019-06-14,First Run,1968
Santoalla,2684,1,$489,1,2017-07-19,Oscilloscope,1969
Straight Into a Storm,2684,1,"$1,964",1,2018-06-15,Abramorama,1969
Mercedes Sosa: The Voice of Latin America,2648,1,"$1,415",1,2014-01-24,First Run,1971
Knuckle,2647,3,"$2,647",3,2011-12-09,Vitagraph Films,1972
ACORN and the Firestorm,2621,1,"$2,621",1,2018-04-06,First Run,1973
Risk/Reward,2517,1,"$2,517",1,2004-02-27,Organic Pictures,1975
Standing by Yourself,2500,1,"$2,200",1,2002-05-17,Cheapo Films,1976
Herbie Hancock: Possibilities,2493,2,"$1,772",2,2006-04-14,Magnolia Pictures,1977
Homeland (Iraq Year Zero),2491,1,$560,1,2016-10-06,Kino Lorber,1978
Rank,2485,1,$314,1,2006-06-28,IFC Films,1979
Men at Lunch,2483,1,"$1,530",1,2013-09-20,First Run,1980
Tiny: The Life of Erin Blackwell,2465,1,"$1,631",1,2019-07-19,Janus Films,1981
Looking for an Icon,2393,1,"$1,760",1,2007-05-09,Icarus Films,1982
The Optimists,2377,1,"$2,377",1,2005-10-21,Castle Hill Productions,1983
Evergreen: The Road to Legalization,2363,3,$189,1,2014-06-13,First Run,1984
A German Youth,2343,1,$416,1,2019-10-11,Big World Pictures,1985
You're Gonna Miss Me,2324,1,"$1,340",1,2007-06-08,Palm Pictures,1986
Serendipity,2298,2,"$1,156",2,2019-10-18,Cohen Media Group,1987
The Big Question,2248,3,$466,1,2006-03-17,THINKFilm,1988
Behind the White Glasses,2223,1,$900,1,2017-04-21,Kino Lorber,1989
The Night Watchman,2219,2,$378,2,2012-07-06,Icarus Films,1990
Workingman's Death,2214,2,"$2,214",2,2006-02-24,Seventh Art Releasing,1991
NoBody's Perfect,2122,1,$533,1,2010-04-16,Lorber Films,1992
Running with Arnold,2119,2,"$2,119",2,2008-01-11,Lantern Lane Entertainment,1993
Jihadists,2104,1,$824,1,2019-01-25,Cinema Libre Studio,1994
Patagonia Rising,2064,1,$981,1,2012-06-08,First Run,1995
Algorithms,2021,1,$317,1,2014-10-17,First Run,1996
Split: A Deeper Divide,2000,1,"$2,338",1,2012-10-12,Feature Presentations Releasing,1997
"Accidental Courtesy: Daryl Davis, Race & America",1940,1,"$1,452",1,2017-01-06,First Run,1998
West Of The Jordan River,1926,1,"$1,047",1,2018-01-26,Kino Lorber,1999
A Mother's Courage: Talking Back to Autism,1916,2,$822,2,2010-09-24,First Run,2000
Sneakerheadz,1903,3,"$1,903",3,2015-08-07,Submarine Deluxe,2001
With God on Our Side: George W. Bush and the Rise of the Religious Right in America,1884,1,$563,1,2005-01-19,Lumiere Productions,2002
Oswald's Ghost,1796,1,"$1,796",1,2007-11-30,Seventh Art Releasing,2004
The Lost Village,1780,1,$840,1,2018-10-19,First Run,2005
The Other Man: F.W. de Klerk and the End of Apartheid,1747,1,"$1,153",1,2015-02-06,First Run,2006
Children of Fate: Life and Death in a Sicilian Family,1738,1,"$1,099",1,1993-11-23,First Run,2007
You Don't Need Feet to Dance,1719,1,"$1,239",1,2013-03-22,First Run,2008
On the Rumba River,1698,1,"$1,156",1,2008-06-06,First Run,2009
More Than the Rainbow,1677,1,"$1,082",1,2014-05-02,First Run,2010
Persons of Interest,1672,1,"$1,672",1,2004-09-03,First Run,2011
Souldier,1500,2,$900,2,2014-02-21,Parade Deck Films,2013
Making Grace,1496,1,$456,1,2005-07-20,First Run,2014
Where Are You Taking Me?,1492,1,$937,1,2012-03-02,Icarus Films,2015
Making Rounds,1484,1,"$1,056",1,2015-10-30,First Run,2016
The Letter: An American Town and the 'Somali Invasion',1479,1,$789,1,2005-02-09,Arab Film Distribution,2017
'Tis Autumn: The Search for Jackie Paris,1476,1,"$1,476",1,2007-12-07,Outsider Pictures,2018
Unborn in the USA: Inside the War on Abortion,1475,1,"$1,035",1,2007-06-15,First Run,2019
That Way Madness Lies...,1447,2,$579,2,2018-12-14,First Run,2020
The Ballad of Bering Strait,1440,3,"$1,232",3,2003-02-19,Emerging Pictures,2021
Monumental: David Brower's Fight for Wild America,1430,1,$842,1,2005-07-22,First Run,2022
The Silence of Mark Rothko,1422,1,$268,1,2016-04-21,Icarus Films,2024
Return to the Land of Wonders,1338,1,$357,1,2005-07-13,Arab Film Distribution,2025
America Betrayed,1311,1,$245,1,2009-03-27,First Run,2026
Jason Becker: Not Dead Yet,1294,2,$319,2,2012-12-12,Kino Lorber,2027
Proteus: A Nineteenth Century Vision,1246,1,$642,1,2005-08-05,Icarus Films,2028
It's Not Yet Dark,1227,2,$811,2,2017-08-04,FilmRise,2029
The Trials of Darryl Hunt,1217,2,$619,2,2007-06-15,THINKFilm,2030
A Small Good Thing,1196,2,"$1,196",2,2016-08-19,Kino Lorber,2031
Food Beware: The French Organic Revolution,1181,1,$595,1,2009-10-16,First Run,2033
The Colour of Olives,1169,1,$555,1,2006-07-12,Arab Film Distribution,2035
Yalom's Cure,1164,1,$684,1,2016-03-11,First Run,2036
The Ister,1124,1,"$1,124",1,2006-02-10,Icarus Films,2037
The Tower,1117,1,$726,1,2014-11-07,Music Box Films,2038
We Are the Giant,1088,2,"$1,088",2,2014-12-12,Music Box Films,2039
The Empire in Africa,1088,3,"$1,088",3,2006-12-08,Cinema Libre Studio,2039
Invisible Hands,1034,1,$456,1,2018-11-23,First Run,2041
The Penguin Counters,976,1,$976,1,2017-04-21,First Run,2042
Beyond Hatred,949,1,$533,1,2007-06-15,First Run,2043
A People Uncounted,930,1,$390,1,2014-05-16,First Run,2044
